tl	loc
27.6	outer
29	outer
28.7	outer
29.4	outer
28	outer
27.7	outer
29	outer
27.7	outer
28.3	outer
27.7	outer
28.2	outer
29.9	outer
